# Cluster_name   Mass[Msun]   DeltaMass[Msun] (Baumgardt et al. 2019)[doi:10.1093/mnras/sty2997] from https://people.smp.uq.edu.au/HolgerBaumgardt/globular/
NGC_6809           1.97e+05          5.52e+03
Ter_8              7.59e+04          1.64e+04
Pal_11             1.42e+04          5.75e+03
Sagittarius_II     3.05e+04          5.53e+03
NGC_6838           3.78e+04          1.38e+03
NGC_6864           4.59e+05          5.84e+04
NGC_6934           1.50e+05          3.73e+03
NGC_6981           8.12e+04          1.28e+04
NGC_7006           1.32e+05          3.51e+04
Laevens_3          2.68e+03                 0
NGC_7078           5.18e+05          6.56e+03
NGC_7089           6.24e+05          7.95e+03
NGC_7099           1.21e+05          2.62e+03
Pal_12             6.19e+03          1.19e+03
Pal_13             2.78e+03          5.16e+02
NGC_7492           1.97e+04          3.44e+03
