# Name     log(Mstar/Msun) [Fe/H] [Fe/H]_sigma (Caldwell et al. 2011)[doi:10.1088/0004-6256/141/2/61]
B115-G177              5.8    0.1          0.1
B116-G178              6.2   -0.6          0.1
B064D-NB6              5.6   -1.1          0.2
B119-NB14              5.3   -0.8          0.3
NB21-AU5               4.7   -1.1          0.3
B351-G179              5.1   -1.5          0.6
B352-G180              5.6   -1.5          0.2
B068D                  4.6   -0.5          0.3
B122-G181              5.9   -1.2          0.1
B123-G182              5.3   -0.7          0.2
B124-NB10              6.3   -0.5          0.1
B125-G183              5.5   -1.5          0.1
DAO55                  4.7    0.3          0.5
B126-G184              5.3   -1.5          0.2
B127-G185              6.5   -0.7          0.1
SK054A                 4.8    nan          nan
B072D                  4.6   -0.9          0.2
BH16                   4.7    nan          nan
NB18                   4.5    nan          nan
B354-G186              5.1   -1.6          0.4
B128-G187              5.5   -0.6          0.1
B129                   6.7   -0.8          0.1
B130-G188              5.8   -1.2          0.1
B262                   5.0   -1.3          0.3
BH18                   5.0    0.1          0.3
B131-G189              6.1   -0.7          0.1
B132-NB15              5.3   -0.5          0.3
B134-G190              5.5   -0.9          0.1
B078D                  4.9   -0.4          0.3
B135-G192              6.0   -1.8          0.1
B264-NB19              5.2   -2.4          0.9
B136-G194              5.4   -1.2          0.2
B137-G195              5.6   -1.5          0.1
B138                   5.5   -0.0          0.2
AU010                  5.3   -0.5          0.3
B140-G196              5.1   -0.1          0.2
B087D                  5.2   -1.2          0.1
B141-G197              5.7   -1.4          0.1
B088D                  nan    nan          nan
B143-G198              6.0   -0.1          0.1
B144                   5.6    0.1          0.2
B090D                  5.2   -0.3          0.2
B091D-D058             6.1   -0.7          0.1
B145                   4.8   -1.2          0.3
B092D                  4.9    0.4          0.5
B265                   4.8   -0.8          0.2
B146                   5.4   -1.0          0.2
B147-G199              5.9   -0.1          0.1
B266                   5.3   -1.0          0.2
B148-G200              6.0   -1.1          0.1
B149-G201              5.7   -1.3          0.1
B467-G202              5.1   -1.4          0.2
B268                   5.0   -0.2          0.3
B269                   5.1   -0.8          0.2
B150-G203              5.6   -0.3          0.1
PHF6-1                 5.1   -0.2          0.2
B151-G205              6.8   -0.6          0.1
B152-G207              5.8   -0.7          0.1
B356-G206              5.6   -1.4          0.1
B153                   5.8   -0.3          0.1
B154-G208              5.5   -0.2          0.2
B155-G210              5.1   -0.5          0.1
B156-G211              5.4   -1.2          0.1
B157-G212              5.1   -2.6          0.3
B158-G213              6.3   -0.8          0.1
B159                   5.7   -1.2          0.2
B160-G214              4.9   -2.8          0.4
B161-G215              5.7   -1.1          0.1
SK063A                 4.8    nan          nan
B162-G216              5.2   -0.5          0.1
B163-G217              6.3   -0.1          0.1
B164-V253              5.2   -0.3          0.2
B165-G218              5.6   -2.0          0.2
B167                   5.3   -0.4          0.1
B168                   5.6   -0.6          0.1
B169                   5.6    0.3          0.1
B170-G221              5.3   -0.7          0.1
B272-V294              5.3   -0.9          0.2
B171-G222              6.1   -0.3          0.1
B172-G223              5.5   -0.6          0.1
B173-G224              5.2   -0.8          0.1
B174-G226              6.2   -1.0          0.1
B176-G227              5.4   -1.6          0.2
B177-G228              4.9   -1.2          0.1
B178-G229              6.1   -1.2          0.1
B179-G230              6.0   -1.0          0.1
B180-G231              5.7   -0.9          0.1
B181-G232              5.4   -0.5          0.1
B182-G233              6.2   -1.0          0.1
B183-G234              5.8   -0.5          0.1
B185-G235              6.0   -0.6          0.1
B184-G236              5.3    0.1          0.1
B186                   4.7    0.2          0.3
B187-G237              5.5   -1.6          0.3
B188-G239              5.3   -1.7          0.2
B189-G240              5.5    0.4          0.2
B190-G241              5.5   -1.2          0.1
B194-G243              5.3   -1.4          0.1
B193-G244              6.2   -0.1          0.1
SK072A                 5.1    nan          nan
B103D-G245             5.1   -0.8          0.1
B472-D064              6.1   -1.0          0.1
SK073A                 4.9    nan          nan
B196-G246              5.3   -1.1          0.1
B197-G247              5.3   -0.3          0.1
B199-G248              5.2   -1.5          0.1
B198-G249              5.1   -1.0          0.2
B200                   5.1   -1.4          0.3
B201-G250              5.7   -1.1          0.1
B202-G251              5.1   -1.2          0.1
B203-G252              5.5   -0.8          0.1
B204-G254              5.9   -0.7          0.1
B361-G255              5.3   -1.4          0.2
B205-G256              6.0   -0.9          0.1
B206-G257              6.1   -1.1          0.1
B110D-V296             4.9   -1.4          0.2
B207-G258              5.2   -1.3          0.1
B208-G259              5.0   -0.4          0.2
M009                   5.0   -1.8          0.3
B209-G261              5.5   -1.0          0.1
B211-G262              5.5   -1.4          0.1
B212-G263              6.0   -1.7          0.1
B213-G264              5.5   -0.8          0.1
B214-G265              5.1   -1.3          0.1
B215-G266              5.3   -0.6          0.1
B217-G269              5.6   -0.8          0.1
M019                   4.8   -1.4          0.2
B218-G272              6.3   -0.8          0.1
B219-G271              5.7   -0.6          0.1
B363-G274              5.0   -2.1          0.2
B220-G275              5.6   -1.5          0.2
B221-G276              5.6   -1.1          0.1
B224-G279              6.1   -1.5          0.1
B279-D068              4.9    0.0          0.2
B225-G280              6.5   -0.5          0.1
B228-G281              5.6   -0.7          0.1
B229-G282              5.3   -2.1          0.2
B230-G283              5.7   -1.9          0.1
B365-G284              5.5   -1.4          0.1
B231-G285              5.3   -1.0          0.1
B232-G286              6.0   -1.9          0.1
B233-G287              5.9   -1.1          0.1
B234-G290              5.6   -0.8          0.1
B366-G291              5.5   -2.0          0.2
B283-G296              5.0   -0.8          0.2
B235-G297              5.6   -0.9          0.1
B236-G298              5.2   -1.5          0.2
B237-G299              5.3   -1.8          0.2
B370-G300              5.8   -1.6          0.1
B238-G301              5.6   -0.7          0.1
B239-M74               5.3   -0.9          0.1
B240-G302              6.1   -1.5          0.1
B287                   4.9   -1.4          0.3
B372-G304              5.5   -1.1          0.1
B373-G305              6.0   -0.5          0.1
V129-BA4               5.4   -1.4          0.1
B375-G307              5.3   -0.9          0.1
B377-G308              5.3   -1.5          0.1
B378-G311              5.1   -1.6          0.2
B379-G312              5.8   -0.4          0.1
B381-G315              6.0   -1.1          0.1
B486-G316              5.2   -1.4          0.2
B382-G317              5.3   -1.9          0.2
B383-G318              6.1   -0.6          0.1
B384-G319              5.8   -0.7          0.1
B386-G322              6.0   -1.1          0.1
B387-G323              5.3   -2.2          0.2
B391-G328              5.4   -1.2          0.2
B393-G330              5.4   -0.9          0.2
B396-G335              5.2   -2.0          0.3
B397-G336              5.7   -1.2          0.1
B398-G341              5.3   -0.4          0.2
B399-G342              5.3   -1.7          0.5
B401-G344              5.5   -1.9          0.3
B337D                  4.9   -1.7          0.6
B403-G348              5.8   -0.9          0.1
B405-G351              6.2   -1.2          0.1
